# HEVC (using HM)


# Berlin.pgm
"Berlin"
 51:   0.0107 bpp     25.7822 dB
 50:   0.0132 bpp     26.1464 dB
 49:   0.0162 bpp     26.5063 dB
 48:   0.0198 bpp     26.8494 dB
 47:   0.0236 bpp     27.1687 dB
 46:   0.0291 bpp     27.5857 dB
 45:   0.0351 bpp     27.9598 dB
 44:   0.0425 bpp     28.3917 dB
 43:   0.0521 bpp     28.8497 dB
 42:   0.0626 bpp     29.2952 dB
 41:   0.0745 bpp     29.7342 dB
 40:   0.0890 bpp     30.2187 dB
 39:   0.1058 bpp     30.7067 dB
 38:   0.1252 bpp     31.2037 dB
 37:   0.1484 bpp     31.7468 dB
 36:   0.1734 bpp     32.2632 dB
 35:   0.2015 bpp     32.7699 dB
 34:   0.2350 bpp     33.3220 dB
 33:   0.2719 bpp     33.8644 dB
 32:   0.3122 bpp     34.4172 dB
 31:   0.3609 bpp     34.9885 dB
 30:   0.4138 bpp     35.5481 dB
 29:   0.4695 bpp     36.0882 dB
 28:   0.5353 bpp     36.6666 dB
 27:   0.6069 bpp     37.2282 dB
 26:   0.6870 bpp     37.7964 dB
 25:   0.7825 bpp     38.4053 dB
 24:   0.8873 bpp     39.0353 dB
 23:   1.0222 bpp     39.7429 dB
 22:   1.1932 bpp     40.6056 dB
 21:   1.3814 bpp     41.5645 dB
 20:   1.5750 bpp     42.5701 dB
 19:   1.7831 bpp     43.6858 dB
 18:   1.9929 bpp     44.8254 dB
 17:   2.1776 bpp     45.8612 dB
 16:   2.3807 bpp     46.9915 dB
 15:   2.5625 bpp     48.0168 dB
 14:   2.7656 bpp     49.1534 dB
 13:   2.9578 bpp     50.2108 dB
 12:   3.1418 bpp     51.1745 dB
 11:   3.3197 bpp     52.1113 dB
 10:   3.5115 bpp     53.1345 dB
  9:   3.7146 bpp     54.2176 dB
  8:   3.9109 bpp     55.4232 dB
  7:   4.1348 bpp     57.0862 dB
  6:   4.3468 bpp     59.2241 dB
  5:   4.5513 bpp     62.6384 dB
  4:   4.7046 bpp     70.4472 dB
  3:   4.7715 bpp     78.8342 dB
  2:   4.8628 bpp     84.3657 dB
  1:   5.0085 bpp     91.6526 dB
  0:   5.1340 bpp     99.7144 dB


# Castle.pgm
"Castle"
 51:   0.0189 bpp     21.7184 dB
 50:   0.0243 bpp     21.9796 dB
 49:   0.0318 bpp     22.2866 dB
 48:   0.0425 bpp     22.6644 dB
 47:   0.0549 bpp     23.0452 dB
 46:   0.0715 bpp     23.4868 dB
 45:   0.0913 bpp     23.9548 dB
 44:   0.1146 bpp     24.4519 dB
 43:   0.1425 bpp     24.9770 dB
 42:   0.1766 bpp     25.5516 dB
 41:   0.2142 bpp     26.1408 dB
 40:   0.2587 bpp     26.7786 dB
 39:   0.3080 bpp     27.4207 dB
 38:   0.3636 bpp     28.0837 dB
 37:   0.4284 bpp     28.8248 dB
 36:   0.4984 bpp     29.5551 dB
 35:   0.5709 bpp     30.2784 dB
 34:   0.6535 bpp     31.0547 dB
 33:   0.7409 bpp     31.8393 dB
 32:   0.8336 bpp     32.6463 dB
 31:   0.9393 bpp     33.5142 dB
 30:   1.0477 bpp     34.3687 dB
