# JPEG (using image magick)


# Berlin.pgm
"Berlin"
  1:   0.0463 bpp     24.3523 dB
  2:   0.0464 bpp     24.3545 dB
  3:   0.0516 bpp     24.6064 dB
  4:   0.0635 bpp     25.7174 dB
  5:   0.0781 bpp     26.6590 dB
  6:   0.0939 bpp     27.4203 dB
  7:   0.1108 bpp     28.0456 dB
  8:   0.1271 bpp     28.5600 dB
  9:   0.1442 bpp     28.9882 dB
 10:   0.1617 bpp     29.3743 dB
 11:   0.1788 bpp     29.7003 dB
 12:   0.1943 bpp     29.9924 dB
 13:   0.2098 bpp     30.2748 dB
 14:   0.2235 bpp     30.5102 dB
 15:   0.2379 bpp     30.7443 dB
 16:   0.2527 bpp     30.9570 dB
 17:   0.2672 bpp     31.1621 dB
 18:   0.2813 bpp     31.3539 dB
 19:   0.2933 bpp     31.5209 dB
 20:   0.3060 bpp     31.6796 dB
 21:   0.3203 bpp     31.8468 dB
 22:   0.3329 bpp     31.9924 dB
 23:   0.3458 bpp     32.1319 dB
 24:   0.3581 bpp     32.2655 dB
 25:   0.3697 bpp     32.3878 dB
 26:   0.3819 bpp     32.5063 dB
 27:   0.3931 bpp     32.6223 dB
 28:   0.4068 bpp     32.7538 dB
 29:   0.4163 bpp     32.8428 dB
 30:   0.4276 bpp     32.9488 dB
 31:   0.4389 bpp     33.0431 dB
 32:   0.4502 bpp     33.1462 dB
 33:   0.4634 bpp     33.2584 dB
 34:   0.4704 bpp     33.3260 dB
 35:   0.4847 bpp     33.4285 dB
 36:   0.4966 bpp     33.5280 dB
 37:   0.5027 bpp     33.5773 dB
 38:   0.5179 bpp     33.6869 dB
 39:   0.5267 bpp     33.7542 dB
 40:   0.5313 bpp     33.8012 dB
 41:   0.5472 bpp     33.9191 dB
 42:   0.5550 bpp     33.9630 dB
 43:   0.5629 bpp     34.0300 dB
 44:   0.5772 bpp     34.1273 dB
 45:   0.5853 bpp     34.1769 dB
 46:   0.5973 bpp     34.2665 dB
 47:   0.6027 bpp     34.3221 dB
 48:   0.6144 bpp     34.3665 dB
 49:   0.6310 bpp     34.4651 dB
 50:   0.6336 bpp     34.4997 dB
